Date          	Time          	Speed         	Zone #        	Subject ID    	Duration(sec) 	End Speed     	Message
11-27-2024    	10:13:49      	4.0 to 40 RPM 	 1            	C1R           	 77           	13.24 RPM     	
11-27-2024    	10:14:54      	4.0 to 40 RPM 	 3            	C1G           	 142          	21.04 RPM     	
11-27-2024    	10:15:58      	4.0 to 40 RPM 	 2            	C1B           	 206          	28.72 RPM     	
11-27-2024    	10:17:13      	4.0 to 40 RPM 	 4            	C1W           	 281          	37.72 RPM     	
11-27-2024    	10:25:38      	4.0 to 40 RPM 	 1            	C1R           	 147          	21.64 RPM     	
11-27-2024    	10:25:52      	4.0 to 40 RPM 	 3            	C1G           	 161          	23.32 RPM     	
11-27-2024    	10:26:06      	4.0 to 40 RPM 	 2            	C1B           	 175          	25.00 RPM     	
11-27-2024    	10:26:59      	4.0 to 40 RPM 	 4            	C1W           	 228          	31.36 RPM     	
11-27-2024    	10:34:50      	4.0 to 40 RPM 	 1            	C1R           	 140          	20.80 RPM     	
11-27-2024    	10:35:37      	4.0 to 40 RPM 	 3            	C1G           	 187          	26.44 RPM     	
11-27-2024    	10:35:46      	4.0 to 40 RPM 	 2            	C1B           	 196          	27.52 RPM     	
11-27-2024    	10:37:20      	4.0 to 40 RPM 	 4            	C1W           	 290          	38.80 RPM     	
11-27-2024    	10:45:00      	4.0 to 40 RPM 	 1            	C1R           	 111          	17.32 RPM     	
11-27-2024    	10:46:22      	4.0 to 40 RPM 	 3            	C1G           	 193          	27.16 RPM     	
11-27-2024    	10:46:23      	4.0 to 40 RPM 	 2            	C1B           	 194          	27.28 RPM     	
11-27-2024    	10:48:14      	4.0 to 40 RPM 	 4            	C1W           	 305          	40.00 RPM     	
11-27-2024    	10:55:53      	4.0 to 40 RPM 	 1            	C1R           	 111          	17.32 RPM     	
11-27-2024    	10:56:51      	4.0 to 40 RPM 	 2            	C1B           	 169          	24.28 RPM     	
11-27-2024    	10:56:54      	4.0 to 40 RPM 	 3            	C1G           	 172          	24.64 RPM     	
11-27-2024    	10:59:19      	4.0 to 40 RPM 	 4            	C1W           	 317          	40.00 RPM     	
11-27-2024    	13:21:30      	4.0 to 40 RPM 	 2            	C2B           	 39           	8.68 RPM      	
11-27-2024    	13:23:45      	4.0 to 40 RPM 	 3            	C2G           	 174          	24.88 RPM     	
11-27-2024    	13:23:45      	4.0 to 40 RPM 	 4            	C2W           	 174          	24.88 RPM     	
11-27-2024    	13:24:06      	4.0 to 40 RPM 	 1            	C2R           	 195          	27.40 RPM     	
11-27-2024    	13:32:27      	4.0 to 40 RPM 	 4            	C2W           	 159          	23.08 RPM     	
11-27-2024    	13:32:36      	4.0 to 40 RPM 	 2            	C2B           	 168          	24.16 RPM     	
11-27-2024    	13:32:45      	4.0 to 40 RPM 	 1            	C2R           	 177          	25.24 RPM     	
11-27-2024    	13:33:00      	4.0 to 40 RPM 	 3            	C2G           	 191          	26.92 RPM     	
11-27-2024    	13:42:09      	4.0 to 40 RPM 	 4            	C2W           	 164          	23.68 RPM     	
11-27-2024    	13:42:12      	4.0 to 40 RPM 	 3            	C2G           	 167          	24.04 RPM     	
11-27-2024    	13:42:19      	4.0 to 40 RPM 	 2            	C2B           	 174          	24.88 RPM     	
11-27-2024    	13:44:37      	4.0 to 40 RPM 	 1            	C2R           	 311          	40.00 RPM     	
11-27-2024    	13:53:37      	4.0 to 40 RPM 	 4            	C2W           	 194          	27.28 RPM     	
11-27-2024    	13:53:40      	4.0 to 40 RPM 	 3            	C2G           	 197          	27.64 RPM     	
11-27-2024    	13:54:07      	4.0 to 40 RPM 	 2            	C2B           	 224          	30.88 RPM     	
11-27-2024    	13:54:15      	4.0 to 40 RPM 	 1            	C2R           	 232          	31.84 RPM     	
11-27-2024    	14:03:17      	4.0 to 40 RPM 	 2            	C2B           	 184          	26.08 RPM     	
11-27-2024    	14:03:24      	4.0 to 40 RPM 	 3            	C2G           	 191          	26.92 RPM     	
11-27-2024    	14:03:30      	4.0 to 40 RPM 	 4            	C2W           	 197          	27.64 RPM     	
11-27-2024    	14:05:13      	4.0 to 40 RPM 	 1            	C2R           	 300          	40.00 RPM     	
